,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10835,4188,LIM3534,PoweredY774BPG2OPQE6,,,,36.162076,-86.77432399999998,193.14372801721615
10836,4431,LIM3529,PoweredXC5VBNPASIGXR,36.166814,-86.782781,245.48667276794797,,,
10837,4188,LIM3651,PoweredCO3IKTWMNXGI2,,,,36.162161,-86.77446,243.5854193567916
10838,4188,LIM155,Powered276XA7F25HW6H,36.162035,-86.774364,196.427859125207,,,
10839,4592,LIM237,PoweredU3OXSFF74UNQX,36.138919,-86.800548,82.77607583980489,,,
10841,4592,LIM265,PoweredQJQTTSIEJ7IHR,,,,36.139124,-86.801201,227.39527319829335
10842,4188,LIM308,Powered4C2G5HN7EPJOI,36.162012,-86.774252,163.14647476008915,,,
10843,487,LIM340,PoweredJ2ZEW3VRV34OK,,,,36.1583,-86.7841,165.7141394829859
10844,4592,LIM377,PoweredQEL7BQWGOKPCP,,,,36.138848,-86.800969,112.36529056932689
10846,4592,LIM420,PoweredU3OXSFF74UNQX,,,,36.138802,-86.800509,51.42938174582565
10848,487,LIM454,PoweredPGWNYTW66EXYN,36.158496,-86.783381,67.56097822895445,,,
10849,4188,LIM601,PoweredHQLFXUWS2ATLL,,,,36.161439,-86.77325,201.3817424469326
10850,4188,LIM632,PoweredNWXMM7XH3ZYMJ,36.161174,-86.773652,232.0449941691188,,,
10851,4596,LIM640,PoweredTOTGTWQ4LSKSD,36.158076,-86.784053,226.4550883414535,,,
10853,4596,LIM675,PoweredPGWNYTW66EXYN,,,,36.158091,-86.784052,230.13289045055862
10855,114,LIM833,Powered3PE6VN3RE2UPD,,,,36.151566,-86.798552,230.53581786369742
10856,4188,LIM964,PoweredINLHNEOC7O2SG,,,,36.16143,-86.773854,138.84553931624362
10857,4188,LIM1150,PoweredXYF5CNJMLEPJL,36.161238,-86.773505,219.9275040596709,,,
10858,4596,LIM970,PoweredVMGURJPXEXEOF,36.157283,-86.784495,155.86476231528457,,,
10859,4188,LIM1002,PoweredFABEBPSD2VQB2,36.1617,-86.77377,37.674525912981096,,,
10860,4188,LIM1005,Powered2FC2TRCKZ7PEA,36.161506,-86.773671,111.81187230591951,,,
10861,4188,LIM1017,Powered2FC2TRCKZ7PEA,,,,36.161549,-86.773705,94.32985183959838
10862,4418,LIM1169,PoweredE3SO3WAFOQXPT,36.166663,-86.782404,156.1418262274846,,,
10865,4429,LIM1132,Powered52EU57UX7J7GO,36.165588,-86.781976,247.39909809707876,,,
10866,4418,LIM1170,PoweredZZ4H3UK3IFF4O,36.166544,-86.782505,179.85652805100386,,,
10869,4418,LIM1208,PoweredFKJK22ET5UGXW,36.16595,-86.781954,218.00271569864273,,,
10872,4596,LIM1229,PoweredQOW23KD6JPIJZ,36.158009,-86.784153,188.14645229759105,,,
10874,4418,LIM1361,Powered52EU57UX7J7GO,,,,36.165894,-86.782044,241.78474703044267
10876,4418,LIM1372,PoweredE3SO3WAFOQXPT,,,,36.166807,-86.782306,154.40607008057643
10879,4418,LIM1373,PoweredZZ4H3UK3IFF4O,,,,36.166511,-86.782468,169.40261521955983
10882,4429,LIM1474,PoweredUQOY5NCLTRSTL,36.1658,-86.781862,167.63749852525598,,,
10883,120,LIM1565,Powered5QMOWEM4MBX5Q,,,,36.13771,-86.80082,248.7307526951737
10884,4249,LIM1614,PoweredXTNMEBOS5T2ZK,36.149744,-86.800789,121.76743863413967,,,
10885,125,LIM1618,PoweredYEBG7WNIQBT4I,36.144254,-86.799233,182.00692905060754,,,
